ID,Brand,Model,DDR,Capacity_GB,Bus_MHz,CL,Price_THB,RGB,Module_Type,XMP,EXPO,Source,Last_Updated,Product_URL,URL_Status
30,Corsair,Vengeance CMK32GX5M2E6000C36,DDR5,32,6000,36,"16,900",No,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/85677,Not verified
31,Corsair,Vengeance CMK16GX5M1E6000Z36,DDR5,16,6000,36,"8,190",No,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/85675,Exact JIB listing verified; direct URL not extracted
32,G.SKILL,Trident Z5 RGB F5-6000J3636F16GX2-TZ5RK,DDR5,32,6000,36,"20,490",Yes,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/51233,Verified exact JIB product page
33,KLEVV,CRAS V RGB,DDR5,32,6000,28,"19,900",Yes,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/76681,Not verified
34,KLEVV,FIT V,DDR5,32,5600,30,"17,290",No,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/77439,Not verified
35,KLEVV,URBANE V RGB KD5AGUA80-64A320M,DDR5,32,6400,32,"19,890",Yes,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/73887,Verified exact JIB product page
36,KLEVV,CRAS V RGB,DDR5,64,6000,30,"37,500",Yes,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/64969,Not verified
37,G.SKILL,Ripjaws S5 F5-5600J4645A32GX2-RS5K,DDR5,64,5600,46,"37,900",No,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/74228,Not verified
38,Corsair,Vengeance RGB CMH64GX5M2B5600Z40K,DDR5,64,5600,40,"35,900",Yes,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/55980,Not verified
39,Kingston,FURY Beast RGB KF556C40BBAK2-64,DDR5,64,5600,40,"37,900",Yes,DIMM,,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/70639,Verified exact JIB product page
40,KLEVV,CRAS V RGB,DDR5,48,6000,30,"25,900",Yes,DIMM,XMP,EXPO,JIB/Market,18/9/2026,https://www.jib.co.th/web/product/readProduct/66890,Not verified
