ลำดับ,ยี่ห้อ (Brand),รุ่นเมนบอร์ด (Model),ซ็อกเก็ต (Socket),ประเภทแรม (RAM),ขนาด (Form Factor),Wi-Fi,ราคาโดยประมาณ (บาท),จุดเด่น / ความคุ้มค่า,URL ลิงก์สินค้า (JIB),RAM Max Speed (MHz),RAM Max Capacity (GB),RAM Profile Support,RAM Dual-Type Support,RAM Speed Note
14,GIGABYTE,B550M K WIFI6E,AM4,DDR4,Micro-ATX,มี (Wi-Fi 6E),"2,990",คุ้มค่า มี Wi-Fi 6E สำหรับสเปกงบประหยัด AM4,https://www.jib.co.th/web/product/readProduct/85369,4733,128,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
15,ASUS,B650M-AYW WIFI,AM5,DDR5,Micro-ATX,มี (Wi-Fi 6),"3,490",ทางเลือกคุ้มค่าจาก ASUS สำหรับ Ryzen 7000/8000/9000,https://www.jib.co.th/web/product/readProduct/81211,8000,192,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
16,MSI,PRO B760M-A WIFI DDR4,LGA 1700,DDR4,Micro-ATX,มี (Wi-Fi 6E),"3,750",ภาคจ่ายไฟดี มี Wi-Fi เสียบใช้งานได้ทันที,https://www.jib.co.th/web/product/readProduct/68042,5333,128,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
17,GIGABYTE,B760M GAMING PLUS WIFI DDR4,LGA 1700,DDR4,Micro-ATX,มี (Wi-Fi 6),"3,420",ฟังก์ชันครบ พอร์ตเชื่อมต่อเยอะ ดีไซน์ดุดัน,https://www.jib.co.th/web/product/readProduct/85701,5333,128,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
18,ASROCK,B650M PRO RS,AM5,DDR5,Micro-ATX,ไม่มี,"3,990",หนึ่งในเมนบอร์ด AM5 ที่ขายดีที่สุด คุ้มค่าเงินมาก,https://www.jib.co.th/web/product/readProduct/70505,7200,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
19,ASUS,PRIME A520M-K,AM4,DDR4,Micro-ATX,ไม่มี,"1,690",เมนบอร์ดเริ่มต้นสาย AMD ราคาสบายกระเป๋าที่สุด,https://www.jib.co.th/web/product/readProduct/48142,4600,128,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
20,ASROCK,B850 PRO RS WIFI,AM5,DDR5,ATX,มี (Wi-Fi 6E),"4,590",ชิป B850 บอร์ดใหญ่ ATX มี Wi-Fi ในราคาสี่พันกลาง,https://www.jib.co.th/web/product/readProduct/75951,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
21,MSI,MAG B850M MORTAR WIFI,AM5,DDR5,Micro-ATX,มี (Wi-Fi 7),"6,890",ซีรีส์ Mortar ยอดฮิต ภาคจ่ายไฟหนา ทนทานเล่นเกมหนัก,https://www.jib.co.th/web/product/readProduct/78247,8200,256,EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
22,GIGABYTE,B860M D3HP,LGA 1851,DDR5,Micro-ATX,ไม่มี,"3,490",รองรับ Intel Core Ultra (LGA 1851) ราคาย่อมเยา,https://www.jib.co.th/web/product/readProduct/83506,9066,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
23,ASROCK,Z890 PRO RS WIFI WHITE,LGA 1851,DDR5,ATX,มี (Wi-Fi 6E),"7,990",บอร์ดสีขาวสวยงาม ชิปเซ็ต Z890 สำหรับ Core Ultra,https://www.jib.co.th/web/product/readProduct/71522,9066,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
24,ASUS,TUF GAMING B850M-PLUS,AM5,DDR5,Micro-ATX,ไม่มี,"7,490",ความทนทานระดับ TUF รองรับการเล่นเกมหนักนานๆ,https://www.jib.co.th/web/product/readProduct/73439,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
25,GIGABYTE,B860 EAGLE WIFI6E,LGA 1851,DDR5,ATX,มี (Wi-Fi 6E),"4,990",บอร์ด ATX สำหรับ Intel Core Ultra สเปกครบครัน,https://www.jib.co.th/web/product/readProduct/75597,9066,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
26,MSI,PRO B850M-A WIFI,AM5,DDR5,Micro-ATX,มี (Wi-Fi 7),"5,290",เรียบหรู สายทำงานและเล่นเกม Wi-Fi 7 เร็วแรง,https://www.jib.co.th/web/product/readProduct/79979,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
27,ASROCK,X870 STEEL LEGEND WIFI,AM5,DDR5,ATX,มี (Wi-Fi 7),"8,690",ชิปท็อป X870 สายขาว ลุคพรีเมียม ฟีเจอร์แน่น,https://www.jib.co.th/web/product/readProduct/71044,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
28,MSI,Z890 GAMING PLUS WIFI6E,LGA 1851,DDR5,ATX,มี (Wi-Fi 6E),"8,450",ชิปเซ็ต Z890 ปรับแต่งลากบัสแรมและ CPU ได้เต็มที่,https://www.jib.co.th/web/product/readProduct/85688,9200,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
29,ASROCK,H610M-H2/M.2 D5,LGA 1700,DDR5,Micro-ATX,ไม่มี,"1,790",บอร์ดประหยัด H610 ที่ขยับมาใช้แรม DDR5,https://www.jib.co.th/web/product/readProduct/66802,5600,96,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
30,GIGABYTE,B650M AORUS ELITE,AM5,DDR5,Micro-ATX,ไม่มี,"6,390",ตระกูล AORUS พรีเมียม ภาคจ่ายไฟแน่น กราฟิกการ์ดแน่น,https://www.jib.co.th/web/product/readProduct/67107,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
31,ASUS,TUF GAMING B650M-PLUS WIFI,AM5,DDR5,Micro-ATX,มี (Wi-Fi 6),"5,490",ทนทาน ฮิตตลอดกาล เสถียรสูงสำหรับ AMD AM5,https://www.jib.co.th/web/product/readProduct/55782,7600,192,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
32,GIGABYTE,X870 AORUS ELITE WIFI7 ICE,AM5,DDR5,ATX,มี (Wi-Fi 7),"9,790",โทนสีขาวบริสุทธิ์ ICE Series ประสิทธิภาพระดับท็อป,https://www.jib.co.th/web/product/readProduct/72754,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
33,ASROCK,B860M PRO RS WIFI,LGA 1851,DDR5,Micro-ATX,มี (Wi-Fi 6E),"4,590",รองรับ Intel Core Ultra ไซส์ mATX มี Wi-Fi,https://www.jib.co.th/web/product/readProduct/75978,9066,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
34,MSI,PRO H610M-E,LGA 1700,DDR5,Micro-ATX,ไม่มี,"1,690",เน้นใช้งานทั่วไป ออฟฟิศ Intel Gen 12-14 DDR5,https://www.jib.co.th/web/product/readProduct/61664,5600,96,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
35,GIGABYTE,B550M K,AM4,DDR4,Micro-ATX,ไม่มี,"2,480",ราคาประหยัดที่สุดสำหรับประกอบคอม AM4,https://www.jib.co.th/web/product/readProduct/40394,4733,128,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
36,ASROCK,X870 PRO RS WIFI,AM5,DDR5,ATX,มี (Wi-Fi 7),"7,290",ชิป X870 ที่ราคาคุ้มค่าที่สุดตัวหนึ่งในตลาด,https://www.jib.co.th/web/product/readProduct/75950,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
37,ASUS,PRIME X870-P WIFI-CSM,AM5,DDR5,ATX,มี (Wi-Fi 7),"9,530",บอร์ดซีรีส์ PRIME เสถียร มีระบบบริหารจัดการ CSM,https://www.jib.co.th/web/product/readProduct/70964,8000,192,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
38,GIGABYTE,B850M GAMING X WIFI6E,AM5,DDR5,Micro-ATX,มี (Wi-Fi 6E),"6,490",ดีไซน์สปอร์ตเกมมิ่ง ระบายความร้อน M.2 ดีเยี่ยม,https://www.jib.co.th/web/product/readProduct/73792,8200,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
39,ASROCK,B760M PRO RS WIFI,LGA 1700,DDR5,Micro-ATX,มี (Wi-Fi 6E),"3,990",รุ่นอัปเกรดใส่ Wi-Fi จากโรงงาน ขายดีมาก,https://www.jib.co.th/web/product/readProduct/77746,7200,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
40,MSI,MPG B850 EDGE TI WIFI,AM5,DDR5,ATX,มี (Wi-Fi 7),"9,990",บอร์ดเกมมิ่งเกรดสูง ดีไซน์เงินโทนสว่างสวยงาม,https://www.jib.co.th/web/product/readProduct/78831,8400,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
41,ASUS,PRIME B850M-K,AM5,DDR5,Micro-ATX,ไม่มี,"3,890",บอร์ด AM5 ระดับเริ่มต้นจาก ASUS ตอบโจทย์งบน้อย,https://www.jib.co.th/web/product/readProduct/82126,8000,192,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
42,GIGABYTE,B850M EAGLE WIFI6E,AM5,DDR5,Micro-ATX,มี (Wi-Fi 6E),"5,590",ซีรีส์ EAGLE เรียบเท่ คุ้มราคา ได้ Wi-Fi 6E,https://www.jib.co.th/web/product/readProduct/78224,8200,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
43,ASROCK,B860 PRO-A WIFI,LGA 1851,DDR5,ATX,มี (Wi-Fi 6E),"4,920",บอร์ด ATX สายทำงาน เรียบหรู สำหรับ Intel Ultra,https://www.jib.co.th/web/product/readProduct/75953,9066,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
44,GIGABYTE,B650M D3HP,AM5,DDR5,Micro-ATX,ไม่มี,"3,150",เริ่มต้นชิป B650 สเปกประหยัดสำหรับ Ryzen 7000,https://www.jib.co.th/web/product/readProduct/64221,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
45,ASROCK,Z890 PRO RS,LGA 1851,DDR5,ATX,ไม่มี,"6,290",ชิปเซ็ต Z890 แบบไม่มี Wi-Fi สำหรับคนใช้สาย LAN,https://www.jib.co.th/web/product/readProduct/71520,9066,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
46,ASUS,B850 MAX GAMING WIFI W,AM5,DDR5,ATX,มี (Wi-Fi 6E),"6,200",บอร์ดสีขาว ATX ฟังก์ชั่นครบ เล่นเกมลื่นไหล,https://www.jib.co.th/web/product/readProduct/87457,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
47,GIGABYTE,X870E AORUS MASTER X3D,AM5,DDR5,ATX,มี (Wi-Fi 7),"21,500",ตัวท็อปสุดสำหรับเกมเมอร์ X3D ขีดสุดแห่งพลัง,https://www.jib.co.th/web/product/readProduct/83828,8200,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
48,ASROCK,Z890 NOVA WIFI,LGA 1851,DDR5,ATX,มี (Wi-Fi 7),"13,900",ซีรีส์ NOVA ไฟ ARGB จัดเต็ม ช่อง M.2 เยอะที่สุด,https://www.jib.co.th/web/product/readProduct/71516,9600,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
49,GIGABYTE,X870E AORUS ELITE X3D,AM5,DDR5,ATX,มี (Wi-Fi 7),"11,900",รองรับซีพียู X3D โดยเฉพาะ ประสิทธิภาพสูงสุด,https://www.jib.co.th/web/product/readProduct/82855,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
