No.,Product Name,Brand,Wattage,Efficiency,Cable Type,Estimated Price (THB),Product Link
14,Cooler Master MWE Gold 750 V2,Cooler Master,750W,80+ Gold,Full-Modular,"3,590",https://www.jib.co.th/web/product/readProduct/70751/185/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--COOLER-MASTER-G-GOLD-750-V2---750W-80-PLUS-GOLD--BLACK---ATX---MPE-7502-ACAAG-
15,Cooler Master MWE Gold 850 V2,Cooler Master,850W,80+ Gold,Full-Modular,"3,990",https://www.jib.co.th/web/product/readProduct/43411/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--COOLER-MASTER-MWE-GOLD-850-V2-FULLY-MODULAR---850W-80-PLUS-GOLD--MPE-8501-AFAAG-EU-
16,Cooler Master V750 Gold V2,Cooler Master,750W,80+ Gold,Full-Modular,"4,390",https://www.jib.co.th/web/product/readProduct/43535/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--COOLER-MASTER-V750-SFX-GOLD---750W-80-PLUS-GOLD
17,Cooler Master V1000 Platinum,Cooler Master,1000W,80+ Platinum,Full-Modular,"7,590",https://www.jib.co.th/web/product/readProduct/46154/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--COOLER-MASTER-V1000-PLATINUM---1000W-80-PLUS-PLATINUM
18,Thermaltake Smart BM2 550W,Thermaltake,550W,80+ Bronze,Semi-Modular,"1,790",https://www.jib.co.th/web/product/readProduct/41332/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--THERMALTAKE-750W-SMART-BM2-80-PLUS-BRONZE
19,Thermaltake Smart BM2 650W,Thermaltake,650W,80+ Bronze,Semi-Modular,"2,190",https://www.jib.co.th/web/product/readProduct/44558/185/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--THERMALTAKE-SMART-BM2-650W-80-PLUS-BRONZE-BLACK-ATX
20,Thermaltake Toughpower GF1 750W,Thermaltake,750W,80+ Gold,Full-Modular,"3,890",https://www.jib.co.th/web/product/readProduct/33775/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--THERMALTAKE-TOUGHPOWER-GF1-750W-80-PLUS-GOLD--PS-TPD-0750FNFAGE-1-
21,Thermaltake Toughpower GF1 850W,Thermaltake,850W,80+ Gold,Full-Modular,"4,490",https://www.jib.co.th/web/product/readProduct/33769/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--THERMALTAKE-TOUGHPOWER-GF1-850W-80-PLUS-GOLD--PS-TPD-0850FNFAGE-1-
22,Thermaltake Toughpower GF3 1000W,Thermaltake,1000W,80+ Gold,Full-Modular,"6,890",https://www.jib.co.th/web/product/readProduct/55948/185/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--THERMALTAKE-TOUGHPOWER-GF3-1000W-GOLD---1000W-80-PLUS-GOLD-BLACK-ATX
23,Thermaltake Toughpower GF3 1200W,Thermaltake,1200W,80+ Gold,Full-Modular,"8,290",https://www.jib.co.th/web/product/readProduct/56216/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--THERMALTAKE-TOUGHPOWER-GF3-1200W-GOLD---1200W-80-PLUS-GOLD-BLACK-ATX
24,ASUS TUF Gaming 650B,ASUS,650W,80+ Bronze,Non-Modular,"2,490",https://www.jib.co.th/web/product/readProduct/44194/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--ASUS-TUF-GAMING-650B---650W-80-PLUS-BRONZE
25,ASUS TUF Gaming 750B,ASUS,750W,80+ Bronze,Non-Modular,"2,890",https://www.jib.co.th/web/product/readProduct/44196/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--ASUS-TUF-GAMING-750B---750W-80-PLUS-BRONZE
26,ASUS ROG Strix 750G,ASUS,750W,80+ Gold,Full-Modular,"4,790",https://www.jib.co.th/web/product/readProduct/35360/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--ASUS-750W-ROG-STRIX-80-PLUS-GOLD
27,ASUS ROG Strix 850G,ASUS,850W,80+ Gold,Full-Modular,"5,590",https://www.jib.co.th/web/product/readProduct/44694/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--ASUS-ROG-STRIX---850W-80-PLUS-GOLD
28,ASUS ROG Strix 1000G,ASUS,1000W,80+ Gold,Full-Modular,"7,290",https://www.jib.co.th/web/product/readProduct/43680/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--ASUS-ROG-STRIX-1000G---1000W-80-PLUS-GOLD
29,ASUS ROG Thor 850P,ASUS,850W,80+ Platinum,Full-Modular,"8,590",https://www.jib.co.th/web/product/readProduct/32172/POWER-SUPPLY-ASUS-ROG-THOR-850W-80-PLUS-PLATINUM
30,ASUS ROG Thor 1200P,ASUS,1200W,80+ Platinum,Full-Modular,"12,900",https://www.jib.co.th/web/product/readProduct/32174/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--ASUS-ROG-THOR-1200W-80-PLUS-PLATINUM
31,MSI MAG A550BN,MSI,550W,80+ Bronze,Non-Modular,"1,590",https://www.jib.co.th/web/product/readProduct/51961/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--MSI-MAG-A550BN---550W-80-PLUS-BRONZE--ATX-
32,MSI MAG A650BN,MSI,650W,80+ Bronze,Non-Modular,"1,890",https://www.jib.co.th/web/product/readProduct/51963/185/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--MSI-MAG-A650BN---650W-80-PLUS-BRONZE-BLACK-ATX
33,MSI MPG A750GF,MSI,750W,80+ Gold,Full-Modular,"3,890",https://www.jib.co.th/web/product/readProduct/50033/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--MSI-MPG-A750GF---750W-80-PLUS-GOLD--ATX-
34,MSI MPG A850GF,MSI,850W,80+ Gold,Full-Modular,"4,490",https://www.jib.co.th/web/product/readProduct/45963/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--MSI-MPG-A850GF---850W-80-PLUS-GOLD--MPG-A850GF-
35,MSI MPG A1000G,MSI,1000W,80+ Gold,Full-Modular,"6,590",https://www.jib.co.th/web/product/readProduct/58829/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--MSI-MPG-A1000G-PCIE5---1000W-80-PLUS-GOLD--BLACK---ATX-
36,MSI MEG Ai1300P,MSI,1300W,80+ Platinum,Full-Modular,"10,900",https://www.jib.co.th/web/product/readProduct/56520/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--MSI-MEG-AI1300P---1300W-80-PLUS-PLATINUM--ATX-
37,SilverStone DA850,SilverStone,850W,80+ Gold,Full-Modular,"4,290",https://www.jib.co.th/web/product/readProduct/45567/185/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--SILVERSTONE-DA850---850W-80-PLUS-GOLD--SST-DA850-G---BLACK---ATX-
