อันดับ,แบรนด์,รุ่น / รายละเอียด,ราคา (บาท),Socket,ลิงก์สินค้า JIB,TDP (W),Max Power (W),RAM Native Max Speed (MHz),RAM Speed Note
11,AMD,AMD RYZEN 5 7600X 4.7 GHz (SOCKET AM5),"8,190",AM5,https://www.jib.co.th/web/product/readProduct/55401,105,142,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
12,AMD,AMD RYZEN 5 5500 3.6 GHz (SOCKET AM4),"3,290",AM4,https://www.jib.co.th/web/product/readProduct/52535,65,88,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
13,Intel,INTEL CORE I5-14500 - 14C 20T 1.9-5.0GHz (INTEL SOCKET 1700),"9,190",LGA 1700,https://www.jib.co.th/web/product/readProduct/64701,65,154,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
14,Intel,INTEL CORE I9-14900K - 24C 32T 2.4-6.0GHz (INTEL SOCKET 1700),"17,400",LGA 1700,https://www.jib.co.th/web/product/readProduct/63040,125,253,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
15,AMD,AMD RYZEN 5 7500F - 6C 12T 3.7-5.0GHz (AMD SOCKET AM5),"4,990",AM5,https://www.jib.co.th/web/product/readProduct/69543,65,88,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
16,AMD,AMD RYZEN 5 4500 3.6 GHz (SOCKET AM4),"2,590",AM4,https://www.jib.co.th/web/product/readProduct/52893,65,88,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
17,AMD,AMD RYZEN 5 7600 3.8 GHz (SOCKET AM5),"7,190",AM5,https://www.jib.co.th/web/product/readProduct/57299,65,88,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
18,AMD,AMD RYZEN 9 9950X3D - 16C 32T 4.3-5.7GHz AMD SOCKET AM5,"26,990",AM5,https://www.jib.co.th/web/product/readProduct/75053,170,200,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
19,Intel,INTEL CORE I7-14700F - 20C 28T 1.5-5.4GHz (INTEL SOCKET 1700),"10,800",LGA 1700,https://www.jib.co.th/web/product/readProduct/64698,65,219,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
20,AMD,AMD RYZEN 7 9700X - 8C 16T 3.8-5.5GHz (AMD SOCKET AM5),"12,390",AM5,https://www.jib.co.th/web/product/readProduct/69752,65,88,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
21,Intel,INTEL CORE I3-12100 3.3 GHz (SOCKET LGA 1700),"4,490",LGA 1700,https://www.jib.co.th/web/product/readProduct/51545,60,89,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
22,Intel,INTEL CORE I5-14400 - 10C 16T 1.8-4.7GHz (INTEL SOCKET 1700),"6,590",LGA 1700,https://www.jib.co.th/web/product/readProduct/64703,65,148,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
23,Intel,INTEL CORE ULTRA 7 265K - 20C 20T 3.3-5.5GHz (INTEL SOCKET 1851),"11,900",LGA 1851,https://www.jib.co.th/web/product/readProduct/71188,125,250,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
24,Intel,INTEL CORE ULTRA 9 285K - 24C 24T 3.2-5.7GHz (INTEL SOCKET 1851),"20,500",LGA 1851,https://www.jib.co.th/web/product/readProduct/71190,125,250,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
25,Intel,INTEL CORE I7-14700 - 20C 28T 1.5-5.4GHz (INTEL SOCKET 1700),"12,200",LGA 1700,https://www.jib.co.th/web/product/readProduct/64700,65,219,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
26,AMD,AMD RYZEN 5 9600X - 6C 12T 3.9-5.4GHz (AMD SOCKET AM5),"8,690",AM5,https://www.jib.co.th/web/product/readProduct/69751,65,88,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
27,AMD,AMD RYZEN 9 9950X - 16C 32T 4.3-5.7GHz (AMD SOCKET AM5),"21,490",AM5,https://www.jib.co.th/web/product/readProduct/69826,170,200,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
28,AMD,AMD RYZEN 5 8500G (SOCKET AM5),"5,590",AM5,https://www.jib.co.th/web/product/readProduct/65211,65,90,5200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
29,Intel,INTEL CORE I7-12700KF 3.6 GHz (SOCKET LGA 1700),"7,390",LGA 1700,https://www.jib.co.th/web/product/readProduct/49473,125,190,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
30,Intel,INTEL CORE I7-14700KF - 20C 28T 2.5-5.6GHz (INTEL SOCKET 1700),"12,800",LGA 1700,https://www.jib.co.th/web/product/readProduct/63039,65,219,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
31,AMD,AMD RYZEN 7 8700G (SOCKET AM5),"10,290",AM5,https://www.jib.co.th/web/product/readProduct/65208,65,88,5200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
32,Intel,INTEL CORE ULTRA 7 265KF - 20C 20T 3.3-5.5GHz (INTEL SOCKET 1851),"10,990",LGA 1851,https://www.jib.co.th/web/product/readProduct/71189,125,250,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
33,AMD,AMD RYZEN 5 5500GT (SOCKET AM4),"4,290",AM4,https://www.jib.co.th/web/product/readProduct/65201,65,88,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
34,AMD,AMD RYZEN 5 8600G (SOCKET AM5),"6,990",AM5,https://www.jib.co.th/web/product/readProduct/65209,65,88,5200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
35,Intel,INTEL PENTIUM GOLD G6405 4.1 GHz (SOCKET LGA 1200),"2,390",LGA 1200,https://www.jib.co.th/web/product/readProduct/47414,58,58,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
36,Intel,INTEL CORE I5-14600KF - 14C 20T 2.6-5.3GHz (INTEL SOCKET 1700),"7,690",LGA 1700,https://www.jib.co.th/web/product/readProduct/63037,125,181,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
37,Intel,INTEL CORE ULTRA 5 245K - 14C 14T 3.6-5.2GHz (INTEL SOCKET 1851),"6,990",LGA 1851,https://www.jib.co.th/web/product/readProduct/71182,125,159,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
38,Intel,INTEL CORE ULTRA 5 245KF - 14C 14T 3.6-5.2GHz (INTEL SOCKET 1851),"6,790",LGA 1851,https://www.jib.co.th/web/product/readProduct/71186,125,159,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
39,Intel,INTEL CORE ULTRA 7 270K PLUS - 24C 24T 3.2-5.5GHz 36MB INTEL SOCKET 1851,"12,500",LGA 1851,https://www.jib.co.th/web/product/readProduct/84217,125,250,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
40,AMD,AMD RYZEN 5 5600GT (SOCKET AM4),"4,590",AM4,https://www.jib.co.th/web/product/readProduct/65197,65,76,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
41,Intel,INTEL CORE ULTRA 5 225F - 10C 10T 3.3-4.9GHz (INTEL SOCKET 1851),"4,240",LGA 1851,https://www.jib.co.th/web/product/readProduct/73576,65,121,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
42,Intel,INTEL CORE I9-14900KF - 24C 32T 2.4-6.0GHz (INTEL SOCKET 1700),"17,200",LGA 1700,https://www.jib.co.th/web/product/readProduct/63041,125,253,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
43,Intel,INTEL CORE I3-14100 - 4C 8T 3.5-4.7GHz (INTEL SOCKET 1700),"4,540",LGA 1700,https://www.jib.co.th/web/product/readProduct/64706,60,110,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
44,Intel,INTEL CORE ULTRA 5 235 - 14C 14T 3.4-5GHz (INTEL SOCKET 1851),"8,590",LGA 1851,https://www.jib.co.th/web/product/readProduct/73578,65,154,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
45,Intel,INTEL CORE I3-14100F - 4C 8T 3.5-4.7GHz (INTEL SOCKET 1700),"3,590",LGA 1700,https://www.jib.co.th/web/product/readProduct/64705,60,110,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
46,Intel,INTEL CORE ULTRA 5 225 - 10C 10T 3.3-4.9GHz (INTEL SOCKET 1851),"6,290",LGA 1851,https://www.jib.co.th/web/product/readProduct/73573,65,121,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
47,AMD,AMD RYZEN 9 9950X3D2 DUAL EDITION - 16C 32T 4.3-5.6GHz 192MB AMD SOCKET AM5,"34,390",AM5,https://www.jib.co.th/web/product/readProduct/84709,170,200,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
48,Intel,INTEL CORE I9-14900 - 24C 32T 1.5-5.8GHz (INTEL SOCKET 1700),"19,900",LGA 1700,https://www.jib.co.th/web/product/readProduct/64697,65,219,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
49,AMD,AMD RYZEN 7 9850X3D - 8C 16T 4.7-5.6GHz 96MB AMD SOCKET AM5,"18,790",AM5,https://www.jib.co.th/web/product/readProduct/83099,120,162,5200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
50,Intel,INTEL CORE ULTRA 7 265 - 20C 20T 1.8-5.3GHz (INTEL SOCKET 1851),"12,800",LGA 1851,https://www.jib.co.th/web/product/readProduct/74210,65,182,6400,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
