ลำดับ,รหัสสินค้า,ชื่อรุ่นสินค้า,ชิปเซ็ต,หน่วยความจำ (VRAM),ราคา,ลิงก์สินค้า
11,JIB-VGA-10012,VGA POWERCOLOR FIGHTER AMD RADEON RX 7600 8GB GDDR6,AMD Radeon RX 7600,8 GB GDDR6,13100,https://www.jib.co.th/web/product/readProduct/77537/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--POWERCOLOR-FIGHTER-AMD-RADEON-RX-7600-8GB-GDDR6--RX7600-8G-F-V2-?srsltid=AU7gw4UdAOPH0FCc5zaYcQTZm_JvvnzrXnZ_fdy1t3twGTE3D1qldPlS
12,JIB-VGA-10014,VGA (SAPPHIRE) SAPPHIRE AMD RADEON RX 9070 XT - 16GB GDDR6,AMD Radeon RX 9070 XT,16 GB GDDR6,24700,https://www.jib.co.th/web/product/readProduct/74899/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--SAPPHIRE-PULSE-AMD-RADEON-RX-9070-XT-GPU---16GB-GDDR6?srsltid=AU7gw4U9LCLWWiVRbNPzEPFafcI-2zpglzHRS00nHvbZp6nf8np_WKYx
13,JIB-VGA-10015,VGA (MSI) MSI NVIDIA GEFORCE RTX 5080 - 16GB GDDR7,NVIDIA GeForce RTX 5080,16 GB GDDR7,57600,https://www.jib.co.th/web/product/readProduct/73980/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--MSI-GEFORCE-RTX-5080-16G-VANGUARD-SOC-LAUNCH-EDITION---16GB-GDDR7?srsltid=AU7gw4UExDup_RCR3wTEP4lOO529Vr4Nf0B_f1zAIqUCaFr4STvUh4QT
14,JIB-VGA-10017,VGA (MSI) MSI NVIDIA GEFORCE RTX 4060 TI - 8GB GDDR6,NVIDIA GeForce RTX 4060 Ti,8 GB GDDR6,11200,https://www.jib.co.th/web/product/readProduct/67823/MSI-GEFORCE-RTX-4060-TI-GAMING-X-SLIM-8G---8GB-GDDR6?srsltid=AU7gw4XqLGup7-ysGU8dCBc-ypdGPz_L0FFwBF63bVIlmyvorZXFODnU
15,JIB-VGA-10018,VGA NVIDIA GEFORCE RTX 5070 - 12GB GDDR7,NVIDIA GeForce RTX 5070,12 GB GDDR7,30600,https://www.jib.co.th/web/product/readProduct/74871/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-5070-WINDFORCE-OC-SFF-12G---12GB-GDDR7?srsltid=AU7gw4X05xBu61d7Hsv15ZovwdE0MW6aZTC-OSXWnQn3r8QqbHYEmr5l
16,JIB-VGA-10019,VGA ASUS PRIME RADEON RX 9070 OC EDITION 16GB GDDR6,AMD Radeon RX 9070,16 GB GDDR6,27200,https://www.jib.co.th/web/product/readProduct/74891/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-PRIME-RADEON-RX-9070-OC-EDITION-16GB-GDDR6--PRIME-RX9070-O16G-?srsltid=AU7gw4VcuX0izQiyOMldiTBgJ5CHoWVPiVKIrnFr5uptKqKnY89bKqb4
17,JIB-VGA-10020,VGA ASROCK AMD RADEON RX 9070 XT STEEL LEGEND 16GB - 16GB GDDR6,AMD RX9070XT SL 16G,16 GB GDDR6,23700,https://www.jib.co.th/web/product/readProduct/74908/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASROCK-AMD-RADEON-RX-9070-XT-STEEL-LEGEND-16GB---16GB-GDDR6--RX9070XT-SL-16G-?srsltid=AU7gw4W_eWrdb2SgELvGnm2PyxZIFe_clB_spMeyI2HTDeTvF5BJWRBc
18,JIB-VGA-10021,VGA (GALAX) GALAX NVIDIA GEFORCE RTX 5070 - 12GB GDDR7,NVIDIA GeForce RTX 5070,12 GB GDDR7,32300,https://www.jib.co.th/web/product/readProduct/74866/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-5070-1-CLICK-OC---12GB-GDDR7?srsltid=AU7gw4XjaefaiKjuen605OALeBRU54VI6K12SjrQwVNhRCDiqSNazldS
19,JIB-VGA-10022,VGA (ASRock) ASROCK AMD RADEON RX 7600 - 8GB GDDR6,AMD Radeon RX 7600,8 GB GDDR6,14200,https://www.jib.co.th/web/product/readProduct/63130/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASROCK-AMD-RADEON-RX-7600-STEEL-LEGEND-8GB-OC---8GB-GDDR6--RX7600-SL-8GO-?srsltid=AU7gw4VptmClxpI9lumZW7OUNRnkifk5uL0kRJSAOpmyeEsNMsY_FHrK
20,JIB-VGA-10023,VGA GIGABYTE RADEON RX 9070 GAMING OC 16G - 16GB GDDR6 ,AMD Radeon RX 9070,16 GB GDDR6,26200,https://www.jib.co.th/web/product/readProduct/74939/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-RADEON-RX-9070-GAMING-OC-16G---16GB-GDDR6--GV-R9070GAMING-OC-16GD-?srsltid=AU7gw4WEHiH1vo9sPCLRQtM8EhNodgmJkWvxTruaGTlMTg7PVpvzd3lK
21,JIB-VGA-10024,VGA (ASUS) ASUS NVIDIA GEFORCE RTX 5060 TI - 16GB GDDR7,NVIDIA GeForce RTX 5060 TI,16 GB GDDR7,13300,https://www.jib.co.th/web/product/readProduct/75999/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-DUAL-GEFORCE-RTX-5060-TI-16GB-GDDR7-OC-EDITION--DUAL-RTX5060TI-O16G-?srsltid=AU7gw4U288CASuJCklkFGlg8nEUOgpir9DT_gP8ESo4OKHW47I_6dvaB
22,JIB-VGA-10025,VGA MSI GEFORCE RTX 4060 TI VENTUS 2X BLACK 8G OC - 8GB GDDR6,NVIDIA GeForce RTX 4060 Ti,8 GB GDDR6,11800,https://www.jib.co.th/web/product/readProduct/59798/MSI-GEFORCE-RTX-4060-TI-VENTUS-2X-BLACK-8G-OC---8GB-GDDR6?srsltid=AU7gw4VKah3Be0yShCI_rwcU-4LDl3Nyf8jtwHWkNlQ2nRXsfIRc4Psg
23,JIB-VGA-10026,VGA GIGABYTE RADEON RX 7600 GAMING OC 8G - 8GB GDDR6,AMD Radeon RX 7600,8 GB GDDR6,11400,https://www.jib.co.th/web/product/readProduct/59857/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-RADEON-RX-7600-GAMING-OC-8G---8GB-GDDR6?srsltid=AU7gw4XW8lKRMrGacs7tsT-wBNzAOQprnRqOOGVZbhH_vR8hxvMPIUej
24,JIB-VGA-10028,VGA GIGABYTE RADEON RX 7600 GAMING OC 8G (REV. 1.1) - 8GB GDDR6,AMD Radeon RX 7600,8 GB GDDR6,10600,https://www.jib.co.th/web/product/readProduct/77942/2629/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-RADEON-RX-7600-GAMING-OC-8G--REV--1-1----8GB-GDDR6--GV-R76GAMING-OC-8GD-?srsltid=AU7gw4XGUSP4XJxdrKLSnbQBrThX8qr4V0IjFtjfTy6PanbJxtvCVsuk
25,JIB-VGA-10029,VGA (GIGABYTE) GIGABYTE NVIDIA GEFORCE RTX 5060 - 8GB GDDR7,NVIDIA GeForce RTX 5060 Ti,8 GB GDDR7,15800,https://www.jib.co.th/web/product/readProduct/76382/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-5060-TI-WINDFORCE-8G---8GB-GDDR7?srsltid=AU7gw4XEgSfXsz9BLIP299BY8EMzTwK2pcZA-7a5cNr__YPxlU_f7aMg
26,JIB-VGA-10030,VGA (ASRock) ASROCK AMD RADEON RX 9060 XT - 16GB GDDR6,AMD RX9060XT SL 16GO,16 GB GDDR6,14600,https://www.jib.co.th/web/product/readProduct/77426/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASROCK-AMD-RADEON-RX-9060-XT-STEEL-LEGEND-16GB-OC---16GB-GDDR6--RX9060XT-SL-16GO-?srsltid=AU7gw4VT-toGui7NtsINOscysr9IuMZXbKZby5Ml0J33QUyXNd5oaF-O
27,JIB-VGA-10031,VGA (ZOTAC) ZOTAC NVIDIA GEFORCE RTX 4070 SUPER - 12GB GDDR6X,NVIDIA GeForce RTX 4070 SUPER,12 GB GDDR6X,21100,https://www.jib.co.th/web/product/readProduct/74685/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ZOTAC-GAMING-GEFORCE-RTX-4070-SUPER-TWIN-EDGE-OC-WHITE-EDITION-12GB-GDDR6X--ZT-D40720Q-10M-?srsltid=AU7gw4WM5lnv55C2ZY8XaGBN38f0S5gNR5iWRhsIV5ww6mWeZlKnuJ8H
28,JIB-VGA-10032,VGA (INNO3D) INNO3D NVIDIA GEFORCE RTX 5070 TI - 16GB GDDR7,NVIDIA GeForce RTX 5070 Ti,16 GB GDDR7,36400,https://www.jib.co.th/web/product/readProduct/82097/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--INNO3D-GEFORCE-RTX-5070-TI-X3---16GB-GDDR7-N507T3-16D7-176068N?srsltid=AU7gw4XneM0gCiN1BbSaPjx6xIQSTrCaEOBwCnpBlhFNOIu8jDvSg-jv
29,JIB-VGA-10033,VGA (GIGABYTE) GIGABYTE AMD RADEON RX 9070 - 16GB GDDR6,AMD Radeon RX 9070,16 GB GDDR6,28600,https://www.jib.co.th/web/product/readProduct/74939/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-RADEON-RX-9070-GAMING-OC-16G---16GB-GDDR6--GV-R9070GAMING-OC-16GD-?srsltid=AU7gw4WIb3oyN76iUkFdwv2TfLxMoYcdgkXBY3v55fTL8CipDOsYHX0p
30,JIB-VGA-10034,VGA SAPPHIRE PULSE AMD RADEON RX 9070 XT GPU - 16GB GDDR6,AMD Radeon RX 9070 XT,16 GB GDDR6,29000,https://www.jib.co.th/web/product/readProduct/74899/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--SAPPHIRE-PULSE-AMD-RADEON-RX-9070-XT-GPU---16GB-GDDR6?srsltid=AU7gw4UtPN6Lekg9e-Nyvb8P-5HTJZTqhkU9GA6GauiRNAKync9l5W4C
31,JIB-VGA-10036,VGA GALAX GEFORCE RTX 3050 6GB EX WHITE (A76D) - 6GB GDDR6 35NRLDHPAZTE,NVIDIA GeForce RTX 3050,6 GB GDDR6,7900,https://www.jib.co.th/web/product/readProduct/81847/2115/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-3050-6GB-EX-WHITE--A76D----6GB-GDDR6-35NRLDHPAZTE?srsltid=AU7gw4UDBTUy_1fo767BELvVn3aBlaTlodjAMdGbE5Y1DJcz_jVzQFWD
32,JIB-VGA-10038,VGA SAPPHIRE NITRO+ AMD RADEON RX 7800 XT 16GB - 16GB GDDR6,AMD Radeon RX 7800 XT,16 GB GDDR6,15600,https://www.jib.co.th/web/product/readProduct/62759/42/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--SAPPHIRE-NITRO--AMD-RADEON-RX-7800-XT-16GB---16GB-GDDR6?srsltid=AU7gw4Xxp_5Yo9KhWpiZhjH_C3k5LUIJNaTZnW8qlsoAsiMRST3sC5q6
33,JIB-VGA-10039,VGA GALAX GEFORCE RTX 4060 TI 8GB 1-CLICK OC - 8GB GDDR6,NVIDIA GeForce RTX 4060 Ti,8 GB GDDR6,14800,https://www.jib.co.th/web/product/readProduct/59808/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-4060-TI-8GB-1-CLICK-OC---8GB-GDDR6?srsltid=AU7gw4W75Qn_PlHku8CCsHuHPyLHdf1JUr2nuFM07EwJK2VumJT8DyP2
34,JIB-VGA-10040,VGA ASUS DUAL RADEON RX 9060 XT 16GB GDDR6,AMD Radeon RX 9060 XT,16 GB GDDR6,15800,https://www.jib.co.th/web/product/readProduct/87358/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-DUAL-RADEON-RX-9060-XT-16GB-GDDR6?srsltid=AU7gw4X2w1kDXyfSzFpuW8mtEq2n3ny6_GGdXYdutrb500FVMosG0gqy
35,JIB-VGA-10041,VGA (GIGABYTE) GIGABYTE NVIDIA GEFORCE RTX 3050 - 6GB GDDR6,NVIDIA GeForce RTX 3050,6 GB GDDR6,7000,https://www.jib.co.th/web/product/readProduct/66808/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-3050-WINDFORCE-OC-6G---6GB-GDDR6--GV-N3050WF2OC-6GD-?srsltid=AU7gw4Wyyo8IoMSTSGZTQ5GBChBPhPkgxFONeocEb_zEQFRG4lflxsRK
36,JIB-VGA-10042,VGA (SAPPHIRE) SAPPHIRE PULSE AMD RADEON RX 7700 XT 12GB - 12GB GDDR6,AMD Radeon RX 7700 XT,12 GB GDDR6,15000,https://www.jib.co.th/web/product/readProduct/74052/2629/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--SAPPHIRE-PURE-AMD-RADEON-RX-7700-XT-12GB---12GB-GDDR6--WHITE-?srsltid=AU7gw4WOQZ2QMkh92hCqTISB7XRpDYlJhckqhOGm1o1d8xXO8bFhtPD4
37,JIB-VGA-10043,VGA (GALAX) GALAX NVIDIA GEFORCE RTX 5070 - 12GB GDDR7,NVIDIA GeForce RTX 5070,12 GB GDDR7,30000,https://www.jib.co.th/web/product/readProduct/74866/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-5070-1-CLICK-OC---12GB-GDDR7?srsltid=AU7gw4Xg_6mpaHxQlmOGdPpen5sdjgM7xICdHERPNhmwDk7fyPtgwLH3
38,JIB-VGA-10044,VGA ASUS PRIME RADEON RX 9070 XT OC EDITION 16GB GDDR6 ,AMD Radeon RX 9070 XT,16 GB GDDR6,25500,https://www.jib.co.th/web/product/readProduct/74915/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-PRIME-RADEON-RX-9070-XT-OC-EDITION-16GB-GDDR6--PRIME-RX9070XT-O16G-?srsltid=AU7gw4W-Xy7oOCyu5QQXPrNIyYlJqU0BlCVaVc_ULg8NjmrVkcsK3EY0
39,JIB-VGA-10045,VGA ASUS PRIME GEFORCE RTX 5070 TI 16GB GDDR7 OC EDITION ,NVIDIA GeForce RTX 5070 Ti,16 GB GDDR7,41900,https://www.jib.co.th/web/product/readProduct/74541/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-PRIME-GEFORCE-RTX-5070-TI-16GB-GDDR7-OC-EDITION--PRIME-RTX5070TI-O16G-?srsltid=AU7gw4XoiDwQ4KCk2KU8CwRtK7Ch51zYhc5auKGeLL0MpcfqXrglAQ_2
40,JIB-VGA-10046,VGA (GALAX) GALAX NVIDIA GEFORCE RTX 5080 - 16GB GDDR7,NVIDIA GeForce RTX 5080,16 GB GDDR7,59500,https://www.jib.co.th/web/product/readProduct/73908/2988/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-5080-1-CLICK-OC---16GB-GDDR7?srsltid=AU7gw4VnYyaxaO8mTbgeu0K5dCwWp02qvams6r6CjW3CinXNY96jzebe
41,JIB-VGA-10049,VGA (GIGABYTE) GIGABYTE NVIDIA GEFORCE RTX 5070 - 12GB GDDR7,NVIDIA GeForce RTX 5070,12 GB GDDR7,28400,https://www.jib.co.th/web/product/readProduct/74869/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-5070-GAMING-OC-12G---12GB-GDDR7?srsltid=AU7gw4Vw9MCtoMIaYui-lpozpQir6c7hWCHzLYkzA1LzfSwiZDesr003
42,JIB-VGA-10050,VGA (GIGABYTE) GIGABYTE NVIDIA GEFORCE RTX 5060 - 8GB GDDR7,NVIDIA GeForce RTX 5060,8 GB GDDR7,11900,https://www.jib.co.th/web/product/readProduct/82934/2988/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-5060-WINDFORCE-MAX-OC-8G---8GB-GDDR7?srsltid=AU7gw4X1vf6I8nwBiKRuHnH9m9qobqgVFjFPUt7Kc_6vohMQ9a58q7fA
